Height;Volume
0;0
13;28
25;64
38;105
50;152
63;204
76;261
88;323
101;388
114;459
126;534
138;613
151;695
163;781
176;870
188;963
201;1059
214;1158
226;1260
239;1364
251;1471
264;1580
277;1693
289;1807
302;1922
315;2041
327;2160
338;2935,1610993023
341;2963,75408875681
350;3039,63254610592
353;3090,27180424952
355;3090,27180424952
365;2866,78805145017
370;3244,52082877492
371;3254,52082877492
375;3364,1238610653
382;3364,1238610653
391;3455,06973523763
401;3559,79976475985
408;3631,84711836934
416;3826,62350381224
428;3836,62350381224
429;3846,62350381224
435;3909,7358138196
446;4030,22716527714
447;4655,3065148085
448;4665,3065148085
452;4707,92769913848
453;4707,92769913848
454;4707,92769913848
455;4707,92769913848
456;4707,92769913848
457;4707,92769913848
458;4717,92769913848
459;4169,91371746201
460;4179,91371746201
463;4774,13083125351
464;4774,13083125351
465;4283,95313111627
471;4293,95313111627
472;4303,95313111627
474;4879,26756814508
479;4948,50309158541
480;4948,50309158541
481;4948,50309158541
484;4431,52453463607
488;4498,22433522459
490;5055,42570754531
491;4508,22433522459
497;5133,47711112148
499;4594,70332381491
501;5174,54081629157
505;5216,8721801664
506;5216,8721801664
507;5226,8721801664
508;6321,97318147517
513;4743,11135512449
514;4753,11135512449
516;5327,94118002471
519;4513,45471811684
522;5482,35021584822
528;4908,1938427618
529;4918,1938427618
530;5482,35021584822
531;5495,79190582799
532;5507,35482739374
533;5517,35482739374
537;5068,4343027999
543;5068,4343027999
547;5666,01874814098
548;5676,01874814098
549;5686,01874814098
552;5724,66838817338
554;5198,87589585497
557;5230,44969394481
561;5819,18397837158
562;5285,21318611924
565;5866,20067783295
566;5876,20067783295
569;5367,26851308695
570;5380,97214299832
574;5970,2807999246
579;6022,8133218401
580;5496,50366402787
585;6091,49596707488
589;5598,26139676296
591;6170,40765429761
592;6180,40765429761
593;6180,40765429761
594;5660,23234111893
596;5680,23234111893
597;5690,23234111893
598;6239,22934337417
600;6259,70597910782
602;6307,07065000722
607;6343,23685189811
608;5808,40773676756
611;5845,42424657924
613;6403,53379481178
614;6421,66215166144
615;6421,66215166144
616;6431,66215166144
620;6480,01385396671
622;6017,94635864039
623;6522,49999520437
626;6017,94635864039
627;6066,47382679354
628;6583,27854063168
630;7200,4869955774
631;6616,2138754485
632;6626,2138754485
634;7200,4869955774
635;7210,4869955774
636;7210,4869955774
637;7220,4869955774
638;7240,4869955774
639;7240,4869955774
640;7250,4869955774
641;7260,4869955774
642;7270,4869955774
643;6221,74804713595
644;6234,7797862216
645;7310,314179767
646;7324,565889548
647;7324,565889548
649;7436,7242099878
651;6884,34785197829
652;7988,63984814183
654;6894,34785197829
655;6362,63610101048
656;7436,7242099878
657;7446,7242099878
661;6180,1213847835
663;7507,1381094987
664;7517,1381094987
665;7019,17961681977
666;6483,62191837926
668;7047,55259522504
669;7057,55259522504
670;7591,941468861
672;7611,941468861
674;7633,7932005864
675;6595,12242536868
676;7134,77620750243
677;7740,6872213253
683;7740,6872213253
685;6714,87774034902
688;7286,16472079266
691;6779,47714964064
693;7859,09438173851
694;7869,09438173851
696;7379,88258583883
698;7984,7306023912
702;7444,85417882941
703;7454,85417882941
704;7984,7306023912
706;8014,7306023912
707;8042,54809001031
708;7515,52188411284
709;8042,54809001031
710;7017,71065616959
714;7590,38549569033
715;8116,93022167821
716;7621,24859217582
719;7658,46545752092
720;7668,46545752092
723;7701,86075518692
725;8254,9329094648
726;7272,97355741114
731;7272,97355741114
732;7821,10356485699
733;7831,10356485699
736;7335,40631903952
739;7361,47360003931
740;8432,39591807501
741;7393,3476135889
742;7393,3476135889
747;8513,3453909309
748;8010,17901817967
749;8020,17901817967
750;8030,17901817967
751;7498,46189185134
752;8055,26460427839
755;7547,2719416115
756;7547,2719416115
757;8638,44995551331
759;8658,44995551331
760;8148,02181655681
763;7642,87524504862
764;7642,87524504862
765;7655,86301324968
768;8250,53664008376
769;7706,47855057824
770;8882,5678970361
773;7751,07777219885
774;7751,07777219885
776;8348,3519219671
777;8882,5678970361
778;8965,72458669021
779;7827,1151340327
781;7827,1151340327
782;7827,1151340327
783;8424,90251178475
784;7827,1151340327
786;9031,09782138171
787;7724,90673325376
788;9655,3065148085
790;7901,38487117999
793;7962,78038218106
794;8567,3917390635
795;8577,3917390635
796;9114,86534321711
797;7972,78038218106
803;8677,47072460373
804;8053,34046674239
807;9253,5018480731
812;8784,01935471081
813;8794,01935471081
