Height;Volume
0;0
13;28
25;64
38;105
50;152
63;204
76;261
88;323
101;388
114;459
126;534
138;613
151;695
163;781
176;870
188;963
201;1059
214;1158
226;1260
239;1364
251;1471
264;1580
277;1693
289;1807
302;1922
315;2041
327;2160
331;2197,84615384615
340;2283
341;2292,46153846154
342;2301,92307692308
349;2368,15384615385
354;2416,41666666667
359;2468,5
368;2560,30769230769
382;2701
383;2711,75
384;2722,5
385;2733,25
387;2754,75
391;2797
393;2817
394;2827
395;2837
396;2847
403;2917
405;2939
406;2950
407;2961
409;2983
412;3016
414;3038
415;3049
416;3059,15384615385
417;3069,30769230769
418;3079,46153846154
427;3170,84615384615
434;3248
436;3270,33333333333
441;3326,33333333333
442;3337,66666666667
443;3349
444;3360,33333333333
447;3394,33333333333
448;3405,66666666667
451;3439,66666666667
453;3461,46153846154
459;3524,23076923077
462;3555,61538461538
466;3597,61538461538
467;3608,23076923077
468;3618,84615384615
473;3671,92307692308
474;3682,53846153846
475;3693,15384615385
477;3714,38461538462
480;3748,16666666667
485;3806,08333333333
491;3874,84615384615
494;3907,38461538462
495;3918,23076923077
502;3994,15384615385
503;4005
508;4058,84615384615
512;4101,92307692308
513;4112,69230769231
514;4123,46153846154
517;4156,91666666667
522;4216,5
524;4240,33333333333
526;4264,16666666667
527;4276,08333333333
528;4288
530;4309,84615384615
533;4342,61538461538
536;4375,38461538462
537;4386,30769230769
538;4397,23076923077
540;4419,07692307692
542;4441,15384615385
543;4452,30769230769
546;4485,76923076923
547;4496,92307692308
555;4587
556;4599
557;4611
563;4683
564;4695
567;4730,23076923077
568;4741,46153846154
569;4752,69230769231
577;4842,53846153846
579;4865
580;4877,25
581;4889,5
582;4901,75
583;4914
587;4963
589;4987,5
590;4999,75
591;5012
596;5068,53846153846
601;5125,07692307692
603;5147,69230769231
604;5159
605;5170,38461538462
606;5181,76923076923
609;5215,92307692308
610;5227,30769230769
611;5238,69230769231
612;5250,07692307692
619;5331,83333333333
621;5356,66666666667
623;5381,5
628;5443,58333333333
630;5467,53846153846
635;5525,23076923077
636;5536,76923076923
639;5571,38461538462
641;5594,46153846154
643;5618,58333333333
645;5643,75
646;5656,33333333333
647;5668,91666666667
649;5694,08333333333
655;5768,53846153846
656;5780,07692307692
659;5814,69230769231
664;5872,38461538462
665;5883,92307692308
667;5907
670;5942,07692307692
675;6000,53846153846
683;6097
686;6135
689;6173
692;6211
694;6234,53846153846
696;6258,07692307692
697;6269,84615384615
698;6281,61538461538
705;6364
707;6389,66666666667
712;6453,83333333333
713;6466,66666666667
714;6479,5
716;6505,16666666667
717;6518
718;6530,83333333333
719;6543,66666666667
727;6646,33333333333
728;6659,16666666667
729;6672
735;6743,07692307692
736;6754,92307692308
737;6766,76923076923
738;6778,61538461538
739;6790,46153846154
743;6837,92307692308
747;6885,61538461538
748;6897,53846153846
752;6945,23076923077
753;6957,15384615385
756;6993,91666666667
761;7058,5
762;7071,41666666667
763;7084,33333333333
764;7097,25
766;7123,08333333333
767;7136
768;7148
770;7172
772;7196
780;7292
782;7318
784;7344
786;7370
787;7383
788;7396
789;7409
790;7422
791;7435
794;7472,15384615385
797;7508,38461538462
800;7544,61538461538
804;7592,92307692308
805;7605
806;7617,07692307692
807;7629,15384615385
809;7653,30769230769
810;7665,38461538462
812;7689,53846153846
813;7701,61538461538
815;7725,76923076923
818;7762
824;7840,5
825;7853,58333333333
830;7919
831;7931,15384615385
834;7967,61538461538
838;8016,23076923077
839;8028,38461538462
843;8077
844;8090,16666666667
847;8129,66666666667
852;8195,5
853;8208,66666666667
854;8221,83333333333
856;8247,15384615385
857;8259,30769230769
858;8271,46153846154
859;8283,61538461538
860;8295,76923076923
863;8332,23076923077
867;8380,84615384615
872;8441,61538461538
873;8453,76923076923
874;8465,92307692308
875;8478,07692307692
878;8514,53846153846
882;8564,25
883;8577,5
885;8604
886;8617,25
890;8670,25
891;8683,5
892;8696,75
895;8734,30769230769
899;8782,92307692308
901;8807,23076923077
903;8831,53846153846
905;8855,84615384615
907;8880,30769230769
908;8892,61538461538
914;8966,46153846154
919;9028
920;9041,25
921;9054,5
924;9094,25
927;9134
928;9147,25
933;9211,46153846154
935;9235,92307692308
937;9260,38461538462
938;9272,61538461538
939;9284,84615384615
940;9297,07692307692
942;9321,53846153846
945;9358,23076923077
947;9382,69230769231
949;9407,15384615385
950;9419,38461538462
951;9431,61538461538
952;9443,84615384615
