Height;Volume
0;0
16;41
31;96
47;158
62;228
79;306
95;391
110;484
126;583
142;689
157;801
173;919
189;1042
204;1172
220;1305
236;1445
252;1589
268;1737
283;1890
299;2046
314;2206
330;2371
346;2539
361;2710
377;2884
394;3061
409;3241
425;3424
441;3609
456;3797
472;3988
474;3968,2
476;3993,4
477;4006
482;4069
483;4081,6
491;4180,25
496;4240,5625
499;4276,75
509;4397,375
514;4457,6875
517;4493,875
518;4505,9375
522;4557
524;4583
531;4674
532;4687
538;4759,35294117647
540;4782,52941176471
545;4840,47058823529
549;4886,82352941176
551;4910
557;4989,6
560;5029,4
565;5095,73333333333
570;5159,25
573;5196,9375
575;5222,0625
580;5284,875
586;5360,5
591;5423,625
597;5499,375
602;5566,4
603;5580
604;5593,6
605;5607,2
615;5741,75
616;5754,625
618;5780,375
619;5793,25
626;5883,375
627;5896,25
634;5986,0625
647;6154,73333333333
653;6237,93333333333
654;6251,8
658;6307,26666666667
664;6387,25
665;6400,3125
666;6413,375
669;6452,5625
670;6465,625
671;6478,6875
672;6491,75
684;6649
688;6701,5
695;6793,5625
696;6806,75
703;6899,0625
707;6951,8125
715;7058,1875
717;7084,8125
718;7098,125
721;7138,0625
722;7151,375
729;7249
734;7320
735;7334,2
736;7348,4
742;7430,9375
743;7444,25
748;7510,8125
754;7590,6875
763;7712
764;7725,5
771;7820
772;7834,4
774;7863,2
775;7877,6
784;8007,2
785;8021,6
790;8090,25
793;8130,9375
796;8171,625
799;8212,3125
804;8281,93333333333
805;8296,4
806;8310,86666666667
812;8397,66666666667
813;8412,13333333333
814;8426,6
815;8441,06666666667
818;8483,625
820;8510,875
822;8538,125
824;8565,375
825;8579
830;8647,125
831;8660,75
832;8674,375
837;8742,75
838;8756,4375
839;8770,125
840;8783,8125
843;8824,875
849;8907
850;8920,6875
852;8948,0625
853;8961,75
856;9002,8125
857;9016,5
859;9043,875
860;9057,5625
866;9139,6875
868;9167,0625
869;9180,75
871;9208,125
874;9249,1875
875;9262,875
876;9276,5625
881;9345
884;9386,25
886;9413,75
888;9441,25
891;9482,5
894;9523,75
895;9537,5
896;9551,25
897;9565
898;9579,8
899;9594,6
901;9624,2
903;9653,8
905;9683,4
906;9698,2
907;9713
909;9742,6
912;9787
917;9855,75
920;9897
921;9910,75
923;9938,25
925;9965,75
926;9979,5
927;9993,25
928;10007
929;10020,875
933;10076,375
934;10090,25
935;10104,125
936;10118
937;10131,875
939;10159,625
943;10215,125
944;10229
950;10317,4
951;10332,1333333333
952;10346,8666666667
953;10361,6
954;10376,3333333333
957;10420,5333333333
958;10435,2666666667
960;10463,8125
961;10477,625
963;10505,25
964;10519,0625
965;10532,875
966;10546,6875
967;10560,5
971;10615,75
972;10629,5625
973;10643,375
974;10657,1875
976;10685,8666666667
977;10700,7333333333
978;10715,6
980;10745,3333333333
984;10804,8
985;10819,6666666667
986;10834,5333333333
987;10849,4
991;10907,8125
992;10921,625
993;10935,4375
994;10949,25
996;10976,875
997;10990,6875
998;11004,5
1001;11045,9375
1007;11128,0588235294
1008;11141,1176470588
1010;11167,2352941176
1011;11180,2941176471
1013;11206,4117647059
1015;11232,5294117647
1016;11245,5882352941
1023;11337
1024;11351,8666666667
1027;11396,4666666667
1030;11441,0666666667
1031;11455,9333333333
1032;11470,8
1036;11530,2666666667
1037;11545,1333333333
1038;11560
1039;11573,8125
1044;11642,875
1046;11670,5
1047;11684,3125
1050;11725,75
1052;11753,375
1055;11795,8
1058;11840,2
1059;11855
1060;11869,8
1065;11943,8
1066;11958,6
1068;11988,2
1075;12085,875
1076;12099,6875
1079;12141,125
1082;12182,5625
1083;12196,375
1084;12210,1875
1087;12251,75
1091;12307,25
1094;12348,875
1095;12362,75
1097;12390,5
1098;12404,375
1104;12490,4
1109;12564,4
1118;12695,5
1122;12750,5
1127;12819,25
1128;12833
1130;12860,5
1136;12943
1140;12998
1141;13011,75
1145;13066,75
1146;13080,5
1150;13137,4666666667
1151;13152,2
1152;13166,9333333333
1153;13181,6666666667
1154;13196,4
1155;13211,1333333333
1160;13284,8
1162;13314,2666666667
1164;13341,8823529412
1165;13354,7647058824
1166;13367,6470588235
1168;13393,4117647059
1169;13406,2941176471
1170;13419,1764705882
1176;13496,4705882353
1182;13575,375
1184;13602,75
1185;13616,4375
1186;13630,125
1187;13643,8125
1188;13657,5
1189;13671,1875
1190;13684,875
1191;13698,5625
1192;13712,25
1193;13725,9375
1196;13767
1197;13781,6
1198;13796,2
1199;13810,8
1201;13840
1205;13898,4
1207;13927,6
1208;13942,2
1210;13971,4
1212;13999,5625
1218;14080,9375
1219;14094,5
1224;14162,3125
1225;14175,875
1226;14189,4375
1227;14203
1228;14217,4666666667
1232;14275,3333333333
1234;14304,2666666667
1235;14318,7333333333
1236;14333,2
1238;14362,1333333333
1239;14376,6
1240;14391,0666666667
1241;14405,5333333333
1242;14420
1247;14487,8125
1248;14501,375
1249;14514,9375
1250;14528,5
1251;14542,0625
1254;14582,75
1255;14596,3125
1256;14609,875
1257;14623,4375
1258;14637
1259;14650,4375
1262;14690,75
1263;14704,1875
1264;14717,625
1265;14731,0625
1266;14744,5
1268;14771,375
1269;14784,8125
1270;14798,25
1273;14838,5625
1274;14852
1275;14866,2666666667
1278;14909,0666666667
1279;14923,3333333333
1283;14980,4
