Height;Volume
0;0
16;41
31;96
47;158
62;228
79;306
95;391
110;484
126;583
142;689
157;801
173;919
189;1042
204;1172
220;1305
236;1445
252;1589
268;1737
283;1890
299;2046
314;2206
330;2371
346;2539
361;2710
377;2884
394;3061
409;3241
425;3424
441;3609
456;3797
472;3988
487;4180
503;4376
519;4573
534;4772
551;4973
566;5176
582;5381
598;5588
611;5803,16287996767
618;6002,15565013073
626;6002,15565013073
630;5803,16287996767
634;6117,27254855543
637;6144,63687636174
643;6299,67665080935
646;486330,068948754
648;486369,35971816
649;486399,361996466
651;486399,361996466
654;486443,688705892
655;6399,86961287273
656;6409,86961287273
657;6419,86961287273
658;6439,86961287273
660;486529,476176881
664;6527,42648297019
665;6537,42648297019
666;486645,019439228
667;6557,42648297019
668;486645,019439228
672;6635,55144832002
673;6645,55144832002
674;486719,032398047
679;486781,219006984
680;486801,219006984
682;486826,461797792
683;6811,02369370508
684;486848,884121156
686;486875,689192591
689;486919,548243527
690;486929,548243527
691;6881,08521591438
693;486975,884886614
696;6948,40368468333
697;487027,099291914
698;487037,099291914
699;487050,196082932
701;487120,562376463
703;7048,89504801058
704;487231,349281188
712;487231,349281188
717;487301,927017447
719;487324,092855052
720;487362,379353186
723;7313,09201229768
725;7345,57616065982
726;7355,57616065982
727;487436,86387676
728;487456,86387676
729;487570,881581255
733;7469,76682468344
736;487570,881581255
737;487580,881581255
739;7550,97724585225
740;7560,97724585225
741;7646,94786047365
742;487662,278871771
743;487672,278871771
745;487698,675914697
746;7646,94786047365
748;7349,59992694234
752;487787,630367055
753;487807,630367055
754;487819,734482714
755;7774,0657712594
759;7918,13468472499
763;487940,618615902
767;487995,91721277
770;7983,42429302588
773;488090,456284853
775;8052,12781007054
777;488152,695627427
781;8136,82026790307
784;8189,50823596582
786;488341,856658943
787;8229,40171688135
791;488351,856658943
792;8308,35765888709
793;8318,35765888709
796;8354,97727440791
798;488444,525283037
799;488454,525283037
801;8462,88892161236
803;8462,88892161236
806;488584,649219785
807;8517,72701409093
809;488616,255345377
811;488633,446179472
812;488649,249835194
817;8664,99326113844
818;488738,096225687
819;8694,99326113844
824;8771,46602165786
825;488846,549505008
826;488873,766433477
828;488883,766433477
832;488936,344555319
833;8896,97564713516
834;8906,97564713516
836;488995,843774948
839;8981,94661993904
842;489081,023800368
844;489115,445292945
845;489129,861832832
846;9096,30717058457
847;9096,30717058457
848;9106,30717058457
849;489183,389517663
851;9149,16897127236
852;9159,16897127236
853;489233,233909097
857;9239,49043866056
858;489307,957403208
860;489343,220045318
863;9314,59755314374
864;489399,146303333
866;9426,07477761157
870;489482,939052438
871;9426,07477761157
876;9530,18148057377
878;489630,347063299
879;9548,21502119705
882;489650,347063299
883;489702,947336883
887;489717,82601023
891;489784,550369327
893;9744,50166445809
898;9816,8525858032
899;489891,668563196
902;9880,31788215169
904;489972,542906169
905;489986,773785135
906;490006,773785135
907;9956,75801056994
909;9981,90116867214
910;10001,9011686721
914;490127,516544366
917;10100,7379928672
920;490240,975650304
922;10181,7080288847
925;490282,85837635
933;490406,937571104
934;490416,937571104
935;490426,937571104
941;490512,994433506
947;490599,905773761
952;10658,3745072959
954;10662,9332602757
955;10668,3745072959
956;10678,3745072959
957;490755,38732017
958;10734,0135737851
959;10734,0135737851
960;490827,025999177
961;490827,025999177
966;10877,9505770856
969;490933,816578451
970;10890,6527514133
971;10900,6527514133
974;10977,3945987919
976;491048,413909756
978;491078,943426118
983;11080,6619801001
984;491171,825830141
986;491191,090194353
987;11144,9765379478
993;491297,999891954
997;11292,1902076644
998;11312,1902076644
999;11333,1033721121
1000;491409,424273605
1003;491454,090957645
1005;11408,6102715519
1006;491488,90073852
1007;491503,818783831
1008;11456,7411769304
1009;491527,906595826
1012;491569,330956515
1013;491648,16931063
1014;11537,6795005227
1017;11574,7267678525
1018;491658,16931063
1019;11611,4269577944
1021;11714,8398832211
1024;491746,273991418
1025;491756,273991418
1026;11714,8398832211
1028;491801,029301374
1029;491822,029139729
1033;11815,375607353
1034;491899,244837916
1038;11897,191212013
1041;492011,115847156
1044;492124,266547444
1049;492124,266547444
1050;492134,266547444
1052;12107,5408129174
1053;492177,668066518
1058;492270,215456054
1059;492280,215456054
1060;492346,294171047
1063;492346,294171047
1064;492356,294171047
1065;12329,5999269423
1067;12341,6345798094
1068;492455,731690227
1070;492455,731690227
1073;12429,8580716064
1074;492510,817916563
1075;492520,817916563
1077;492554,856265265
1078;492564,856265265
1081;12552,9849249152
1082;492622,890665933
1083;12572,60842061
1084;492659,576414661
1086;492705,185876987
1087;492705,185876987
1088;12658,6985041631
1089;492737,330420481
1094;492807,96311282
1095;12761,6609280605
1097;492850,328374205
1098;492860,328374205
1103;12878,2832211224
1104;12888,2832211224
1105;492975,375131688
1107;493001,799535967
1112;493080,7600101
1113;493090,7600101
1114;493116,162510726
1117;493162,027412551
1118;493172,027412551
1123;493247,021257662
1124;493257,021257662
1129;493342,95595525
1133;13333,4531741749
1134;493412,996054142
1140;493500,413367324
1145;493591,705983767
1146;493591,705983767
1147;493601,705983767
1148;13564,4488994656
1149;493636,576625608
1150;13594,4488994656
1151;13604,4488994656
1152;13614,4488994656
1153;13635,6462812255
1154;493717,789941594
1155;13665,6462812255
1157;493768,693641149
1160;13752,9794371695
1165;493883,44250182
