Height;Volume
0;0
10;14
19;32
28;53
37;76
47;102
57;130
66;161
75;194
85;230
94;267
104;307
114;348
123;391
132;436
141;482
151;530
161;580
170;631
179;683
188;736
198;791
208;847
217;904
226;962
236;1022
245;1082
255;1143
264;1204
267;347656,537651807
281;347656,537651807
283;347666,537651807
284;347676,537651807
285;542407,961023393
286;347686,537651807
287;347696,537651807
289;78374,5911067665
293;542407,961023393
295;542417,961023393
302;542522,291791091
303;78468,2674157436
306;347487,356120286
311;542522,291791091
312;542532,291791091
313;78540,4209940908
314;347875,004513518
315;542552,291791091
317;542659,082146946
318;347905,004513518
319;458313,197574031
321;347927,294627462
326;347969,153707835
328;458313,197574031
329;542659,082146946
331;542669,082146946
337;78714,6518939361
338;458387,885167297
339;458397,885167297
341;542745,845280247
342;348087,265628251
343;78758,9214976534
344;1761,99806208974
346;78778,9214976534
348;1793,20606131004
349;458466,736217352
351;542814,493601014
353;542824,493601014
354;78836,6299220274
357;1855,3926495986
358;542863,32256327
359;458533,351338831
360;458545,4382663
369;542945,220874267
370;348290,736856016
371;458631,568624835
374;543023,874079648
377;79008,3683452533
379;458745,023352462
380;2029,80347021892
381;543033,874079648
383;2049,80347021892
384;2059,80347021892
385;348394,851531168
386;543123,914234363
387;458745,023352462
388;2169,52946585739
389;458765,023352462
393;543123,914234363
394;79137,8088447426
398;458829,188464555
399;2169,52946585739
400;348511,267308783
402;458858,471900836
403;79248,292770557
405;543216,298826484
407;2278,32507084539
410;348583,628860349
411;348593,628860349
412;543270,995829662
413;543280,995829662
414;543317,343223526
417;348644,495543159
418;458982,489316335
423;348771,213906421
425;543363,201579159
426;543373,201579159
427;543383,201579159
428;2394,57763136941
430;543405,928485055
431;459081,036910615
432;459091,036910615
433;543512,512661435
435;348806,44742596
438;348806,44742596
439;2480,17415770068
440;79490,2542186
441;2500,17415770068
443;79510,2542186
444;543522,512661435
446;543532,512661435
450;2564,75119035735
453;459253,087084374
456;348939,344195544
457;543617,123457699
458;543627,123457699
460;348969,344195544
461;542312,402240891
462;79654,4418914306
463;2658,0662472104
464;543666,546762972
465;543676,546762972
469;349041,725602419
470;543715,595067815
471;349061,725602419
472;2736,1452864561
473;79777,9908506167
476;543768,551395669
477;543778,551395669
478;79787,9908506167
484;349169,550770331
485;349179,550770331
486;543909,235782837
487;2900,59995651395
488;79865,6793382303
489;459601,004329583
492;2900,59995651395
493;543909,235782837
494;349246,216502763
496;459601,004329583
499;79949,6664750488
500;79959,6664750488
502;459639,274673837
503;544000,140579336
505;544000,140579336
506;544010,140579336
508;544020,140579336
512;544050,528755443
514;544072,359975225
515;544082,359975225
517;544092,359975225
521;80127,3082011053
522;544136,771254929
523;347810,689453619
526;459836,638275919
527;80182,0132431216
529;349529,678611537
530;544203,640761217
532;544223,640761217
533;458230,716274717
535;544246,707663857
536;644366,871061554
537;459924,35881107
540;544284,571347911
542;349635,666444217
546;460005,71036695
547;544406,538516169
549;3360,08865796919
550;644366,871061554
551;644376,871061554
552;3380,08865796919
554;80400,3213754154
555;644514,011130642
556;460082,428314059
557;3420,60512516611
558;349782,365080285
562;460132,931681915
563;544474,689279282
564;3482,09344121883
566;3502,09344121883
567;349837,775306128
568;644514,011130642
569;3522,09344121883
570;80534,4067508582
571;80544,4067508582
573;80562,2204953418
574;349899,166552655
575;460242,505987146
576;460252,505987146
577;80608,513540714
578;3600,31833234826
579;644607,733055148
584;644649,606096936
585;349985,78573784
586;460326,982086911
587;460336,982086911
588;544681,337708834
589;460457,508778366
591;3707,88845895086
592;644716,426263774
594;350062,952626593
597;644754,562576429
598;80765,122017013
599;644774,562576429
600;3776,79198260372
601;460457,508778366
602;350128,709086856
603;350138,709086856
604;460477,508778366
605;80815,122017013
606;350158,709086856
607;544835,979798152
608;80843,0103375562
609;460520,254495369
611;80863,0103375562
614;544889,761987576
615;350238,854593701
617;460580,079581469
618;645019,962442638
619;350269,980367221
620;80939,9249497908
621;80949,9249497908
622;544955,282830546
623;544965,282830546
624;460641,538718745
625;460651,538718745
626;3995,75880758164
627;4005,75880758164
628;4015,75880758164
629;645019,962442638
630;645029,962442638
631;645039,962442638
632;460713,510306867
633;545056,339301139
634;545066,339301139
635;350407,333781439
636;460745,191001317
637;645090,050387876
639;460777,887705634
640;4137,65012425848
642;4137,65012425848
644;350480,001997334
646;81162,3618464319
648;645180,001480864
649;545186,671620028
654;81233,1249245229
656;350578,921233772
657;4256,20210448745
660;4276,20210448745
661;4317,60653189132
664;542645,735574224
665;461007,379543587
667;545341,809716799
668;81344,5727727704
669;645354,488222366
670;645364,816726609
671;545371,809716799
672;461049,52352547
678;461098,387398129
680;461118,512325311
681;350790,415562782
682;81467,5049525403
684;645480,434612066
685;645493,057010305
688;461179,568483048
690;545566,36578942
693;350889,089426308
694;645568,852333024
695;350909,089426308
696;645588,852333024
697;645598,852333024
698;461281,098196081
699;545612,195420706
700;4618,85279608474
701;350962,536702845
702;545630,730247829
706;81664,4571639698
707;4674,5450727239
709;461361,832025171
712;645721,613559503
714;351071,600171414
715;81748,9871223623
717;645763,244329721
719;645783,244329721
720;645793,244329721
721;461465,695479229
722;645803,244329721
723;81813,5680648796
724;351154,210961904
725;351164,210961904
726;81507,2174725009
727;461519,367092142
728;545861,004069128
732;458554,04960805
733;645897,779366333
735;645917,779366333
736;81921,7076744264
737;645927,779366333
738;351271,035017779
740;351291,284950643
741;645970,194584922
745;461679,143104437
746;461679,143104437
748;546024,268299061
749;351399,516144268
750;646043,959591127
753;546066,988898562
754;242624,631962551
755;461750,014623263
756;461760,014623263
758;546142,788567828
759;646113,451076099
760;5130,49482545382
761;646133,769128635
762;5140,49482545382
763;546152,788567828
769;82203,2818146242
771;237730,341551044
772;646227,814004404
774;236063,674884378
775;232740,341551044
777;646269,31444649
779;5281,49133207709
780;546294,475786688
781;226121,699432842
782;82312,2070545097
783;224476,669581902
784;217820,002915236
786;462047,523571497
787;82353,1647825256
788;82363,1647825256
792;646400,056539168
793;646410,056539168
795;5424,55089091637
796;5434,55089091637
798;212935,273755892
801;646474,903820845
802;462143,408749142
803;82488,907778861
804;82498,907778861
806;546508,653489618
807;211382,914923896
808;462303,642662965
810;82544,8267037509
812;209716,248257229
813;646565,42192148
814;5581,92460386592
816;5591,92460386592
818;5609,74770410115
821;462303,642662965
822;646647,485864741
823;546653,739259423
824;546663,739259423
825;546673,739259423
828;5699,18852011105
830;646719,791822992
832;462404,429270304
833;82743,7914518851
834;5781,09149882835
836;546766,21925031
838;203271,040296386
840;646794,24210426
841;646804,24210426
842;462580,832105622
843;82828,4091429528
845;82838,4091429528
847;546862,159168082
851;646889,011090883
852;195057,934543122
854;462580,832105622
856;5928,70217252192
857;543312,402240891
860;646961,232763025
861;646971,232763025
862;546979,703648818
863;647077,413299482
864;193487,536571197
867;462697,242040487
868;547037,801809874
872;2400,97050630822
873;647077,413299482
874;83085,7307563883
875;547094,485664015
876;183588,693896672
882;6150,9983543165
883;178664,460744136
884;647165,374856067
885;647179,484861362
886;83279,6603088375
887;647189,484861362
888;647199,484861362
889;462880,520579613
891;647295,454657316
896;462940,39509893
897;83279,6603088375
898;547283,1369906
899;647295,454657316
900;547300,87467893
902;462988,009489333
904;547333,501095722
905;6340,46999655695
906;463017,785174031
907;547390,746549556
908;647381,270890945
910;463046,632822181
911;547390,746549556
912;172225,229494219
915;6429,64813478172
916;463121,115267971
917;547503,312809154
918;170600,680105042
919;349457,356120286
920;463132,024339074
922;463178,238407063
924;83173,8841391676
925;647509,245501815
926;463178,238407063
927;463188,238407063
930;459210,716274717
931;647560,422434737
933;160725,505582285
934;155735,505582285
936;463270,359523175
937;83676,4838718474
939;463290,359523175
940;154124,957226288
941;547650,543566658
942;547650,543566658
